,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
0,A07,Sengakuji,0.0,1,0,"218,883",0:00,3,0,3,0,1,1,0,8,0,0
1,A08,Mita,1.1,1,0,"109,196",2:00,3,1,2,0,1,1,0,23,7,1
2,A09,Daimon,2.6,1,0,"109,543",2:00,4,1,3,0,1,0,0,45,4,1
3,A10,Shimbashi,3.6,1,0,"98,317",2:00,5,0,5,0,1,0,3,58,9,6
4,A11,Higashi-ginza,4.5,0,0,"83,607",3:00,3,0,3,0,1,0,0,46,5,8
5,A12,Takaracho,5.3,0,0,"30,176",1:00,0,0,0,0,1,0,0,28,2,15
6,A13,Nihombashi,6.1,1,0,"96,939",2:00,2,0,2,0,1,0,1,45,3,2
7,A14,Ningyocho,6.9,0,0,"52,172",2:00,2,0,2,0,1,1,0,51,8,3
8,A15,Higashi-nihombashi,7.6,1,0,"83,290",2:00,2,1,1,0,1,0,0,46,3,4
9,A16,Asakusabashi,8.3,0,0,"60,454",1:00,1,0,1,0,1,1,1,49,3,5
10,A17,Kuramae,9.0,0,0,"36,154",2:00,1,1,0,0,1,0,0,48,4,2
11,A18,Asakusa,9.9,1,0,"54,556",2:00,2,0,2,0,1,0,1,51,9,6
12,A19,Honjo-azumabashi,10.6,0,0,"19,111",2:00,0,0,0,0,1,0,0,42,3,3
13,A20,Oshiage,11.4,1,0,"219,904",1:00,3,0,3,0,1,1,2,47,10,4
